"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","HTTP","",""
"pre_128cipher","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.bison-fute.gouv.fr/194.5.170.168","443","OK","not offered","",""
"SSLv3","www.bison-fute.gouv.fr/194.5.170.168","443","OK","not offered","",""
"TLS1","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","not offered","",""
"TLS1_1","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","not offered","",""
"TLS1_2","www.bison-fute.gouv.fr/194.5.170.168","443","OK","offered","",""
"TLS1_3","www.bison-fute.gouv.fr/194.5.170.168","443","OK","offered with final","",""
"ALPN_HTTP2","www.bison-fute.gouv.fr/194.5.170.168","443","OK","h2","",""
"ALPN","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","http/1.1","",""
"cipherlist_NULL","www.bison-fute.gouv.fr/194.5.170.168","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.bison-fute.gouv.fr/194.5.170.168","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.bison-fute.gouv.fr/194.5.170.168","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.bison-fute.gouv.fr/194.5.170.168","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.bison-fute.gouv.fr/194.5.170.168","443","OK","offered","",""
"cipher_order","www.bison-fute.gouv.fr/194.5.170.168","443","WARN","Could not determine server cipher order, no matching cipher in list found (pls report this): DHE-RSA-SEED-SHA:SEED-SHA:DES-CBC3-SHA:RC4-MD5:DES-CBC-SHA:RC4-SHA:AES128-SHA:AES128-SHA256:AES256-SHA:ECDHE-RSA-AES128-SHA:DHE-RSA-AES128-SHA:DHE-RSA-AES256-SHA:ECDH-RSA-DES-CBC3-SHA:ECDH-RSA-AES128-SHA:ECDH-RSA-AES256-SHA:ECDHE-RSA-AES256-GCM-SHA384:DHE-RSA-AES128-SHA256:DHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-AES128-SHA256:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-RSA-AES256-SHA384:ECDHE-RSA-AES256-SHA:DHE-DSS-AES256-GCM-SHA384:ECDHE-ECDSA-AES256-GCM-SHA384:ECDHE-ECDSA-AES128-GCM-SHA256:AES256-SHA256:ECDHE-RSA-DES-CBC3-SHA:ECDHE-RSA-AES128-SHA256:AES256-GCM-SHA384:AES128-GCM-SHA256:DHE-RSA-AES128-GCM-SHA256:DHE-RSA-AES256-SHA256:ADH-AES256-GCM-SHA384:AECDH-AES128-SHA:ECDHE-RSA-RC4-SHA:ECDHE-ECDSA-AES128-SHA","",""
"cipher-tls1_2_xc030","www.bison-fute.gouv.fr/194.5.170.168","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","www.bison-fute.gouv.fr/194.5.170.168","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 3072    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.bison-fute.gouv.fr/194.5.170.168","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","www.bison-fute.gouv.fr/194.5.170.168","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 3072    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS","www.bison-fute.gouv.fr/194.5.170.168","443","OK","offered","",""
"FS_ciphers","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.bison-fute.gouv.fr/194.5.170.168","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","yes","",""
"sessionresumption_ticket","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","not supported","",""
"sessionresumption_ID","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","not supported","",""
"TLS_timestamp","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","random","",""
"certificate_compression","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","none","",""
"clientAuth","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","none","",""
"cert_numbers","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","1","",""
"cert_signatureAlgorithm","www.bison-fute.gouv.fr/194.5.170.168","443","OK","SHA256 with RSA","",""
"cert_keySize","www.bison-fute.gouv.fr/194.5.170.168","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","045850FB22F0234211C5DFE59564808BB34A","",""
"cert_serialNumberLen","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","18","",""
"cert_fingerprintSHA1","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","086C6B0D104AAAAB13BADEAD5DD5B6C1E80C0292","",""
"cert_fingerprintSHA256","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","DA3BDEAD494BCD9F427967689070D983F631D2AB150604BD2B902D9DDD0D0D3F","",""
"cert","www.bison-fute.gouv.fr/194.5.170.168","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGYTCCBUmgAwIBAgISBFhQ+yLwI0IRxd/llWSAi7NKMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjQxMDEyMjMyMTQzWhcNMjUwMTEwMjMyMTQyWjAhMR8wHQYDVQQDExZ3d3cuYmlzb24tZnV0ZS5nb3V2LmZyMIICIjANBgkqhkiG9w0BAQEFAAOCAg8AMIICCgKCAgEAvnB50U0+uEXBzhRBT0C7W+jN0W3HW0TWV/JByBPu3albV0CpF7U1llK78sZryXHYd9b6QYL0JdJgGT8Uav1xiRuFYQKZjMbDGeL6tJxadthn/DKMFf3f7wJXtSABMBEjYn87Y5eP87gx22BH0TPtjSA5r7zaZ518lZRaa1O48Mwozlj59ESzantFdPPfUNcTHiFkUzu87F3bzxAoWOnN+ovsAB49R+FiAwWQS53rd4+K6+210+BpMvTYBiasQHbEm0GyLOXvG/RCboQ4A4baNQ5Kuv5+sckXI/0a3V9Myaea+QxaLajLc8L8VYMVbxLEpdZ+ztq1y6Dc7g1XsMghtIj/I84rKP+20pncN3OUMPV4VbdBLZFH9Sp6u3CQdPm339HV4XxKAbAhxm/q6P7xjOo5J1z5ivoPvXCNU4FPqjGZqNazZ0mP6SeRZRRkVVT1wthwTmPOcqilP95x4xqr/nrfe+Ozbiw2K/19zKtl1HAABrSvYp7gTPzvSxWkIm7T8QB+7SC5o9YfYKg4FX80xjuYxYZLM4Hw6M1SbCWBwt1Vff2/CUDrVLhs15IcCtWcoj/D6A165t2aQGZPQkCHBRU+ZtN3cnCFBBDai8po5p5OXpMcjEZneoX+Ln9JSYeB0VS8S7N+wcE+Ms+o/fEcZPyG7Yo6MHU5X7Pj0LT4tFUCAwEAAaOCAn8wggJ7MA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUsSCI8X4OFV00YhM6ednMJcWbVEcwHwYDVR0jBBgwFoAUu7zDR6XkvKnGw6RyDBCNojXhyOgwVwYIKwYBBQUHAQEESzBJMCIGCCsGAQUFBzABhhZodHRwOi8vcjEwLm8ubGVuY3Iub3JnMCMGCCsGAQUFBzAChhdodHRwOi8vcjEwLmkubGVuY3Iub3JnLzCBhQYDVR0RBH4wfIIWd3d3LmJpc29uLWZ1dGUuZ291di5mcoIXd3d3MS5iaXNvbi1mdXRlLmdvdXYuZnKCF3d3dzIuYmlzb24tZnV0ZS5nb3V2LmZyghd3d3czLmJpc29uLWZ1dGUuZ291di5mcoIXd3d3NC5iaXNvbi1mdXRlLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwggEEBgorBgEEAdZ5AgQCBIH1BIHyAPAAdgDPEVbu1S58r/OHW9lpLpvpGnFnSrAX7KwB0lt3zsw7CAAAAZKDP0IxAAAEAwBHMEUCIEsILLPJOOm0IqXQMoh2L8GF5ybcIvPX0nEftSR21K+cAiEA9+iQ5aW2+qiDHbz5CB9JHDytWo8Oz0vpGVbi+0s1JdsAdgATSt8atZhCCXgMb+9MepGkFrcjSc5YV2rfrtqnwqvgIgAAAZKDP0qIAAAEAwBHMEUCIQDBzXK2obDcgIFNqSF2T5vrNZ+DRfkUdshjHjzHx04YlgIgDsXapaQ8fpgMWSnJrlPKWixxuazixXUAH9EW4amU7xwwDQYJKoZIhvcNAQELBQADggEBAHa6VjQsLX2KpkByrv+VWBrvj37iAKBSsC8v/gSqNXP6v1rK0xssi7nvmEQGqmmgnqGdqdUrJ4Dx+/ngS6anID7bl1jckQl6k6d7rd6ojsg30xVDcpcN/O1ghgelnkL5F8X1Z1pCqk2GFkBfT7UHnWwvJhe2Ra0EWb20TkdKFzrq2OhQukxvhbBuOGFNBIYyGriH1h45Nx3QPfmMyNolA/b6mRUg3V3Lk40Sdk0A3TrNrg9C9okSXxI7GT8fI9WEkdOeB++9OkgiTGXUPuvihsBl/R5gy9CLXr5qMsTHcK93AREyhuq7LSknn05TeggVUZDvdj328dQhhQHBWkfJT6I=\n-----END CERTIFICATE-----","",""
