"id","fqdn/ip","port","severity","finding","cve","cwe"
"scanProblem","boamp.fr/171.33.103.241","443","FATAL","Couldn't connect to 171.33.103.241:443, proceeding with next IP (if any)","",""
"service","boamp.fr/109.232.232.161","443","INFO","HTTP","",""
"pre_128cipher","boamp.fr/109.232.232.161","443","INFO","No 128 cipher limit bug","",""
"SSLv2","boamp.fr/109.232.232.161","443","OK","not offered","",""
"SSLv3","boamp.fr/109.232.232.161","443","OK","not offered","",""
"TLS1","boamp.fr/109.232.232.161","443","INFO","not offered","",""
"TLS1_1","boamp.fr/109.232.232.161","443","INFO","not offered","",""
"TLS1_2","boamp.fr/109.232.232.161","443","OK","offered","",""
"TLS1_3","boamp.fr/109.232.232.161","443","OK","offered with final","",""
"ALPN_HTTP2","boamp.fr/109.232.232.161","443","OK","h2","",""
"ALPN","boamp.fr/109.232.232.161","443","INFO","http/1.1","",""
"cipherlist_NULL","boamp.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","boamp.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","boamp.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_LOW","boamp.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","boamp.fr/109.232.232.161","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","boamp.fr/109.232.232.161","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","boamp.fr/109.232.232.161","443","INFO","not offered","",""
"cipherlist_STRONG_FS","boamp.fr/109.232.232.161","443","OK","offered","",""
"cipher_order-tls1_2","boamp.fr/109.232.232.161","443","OK","server","",""
"cipherorder_TLSv1_2","boamp.fr/109.232.232.161","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","boamp.fr/109.232.232.161","443","OK","server","",""
"FS","boamp.fr/109.232.232.161","443","OK","offered","",""
"FS_ciphers","boamp.fr/109.232.232.161","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","boamp.fr/109.232.232.161","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","boamp.fr/109.232.232.161","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","boamp.fr/109.232.232.161","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","boamp.fr/109.232.232.161","443","INFO","yes","",""
"sessionresumption_ticket","boamp.fr/109.232.232.161","443","INFO","supported","",""
"sessionresumption_ID","boamp.fr/109.232.232.161","443","INFO","not supported","",""
