"id","fqdn/ip","port","severity","finding","cve","cwe"
"scanProblem","bodacc.fr/171.33.103.241","443","FATAL","Couldn't connect to 171.33.103.241:443, proceeding with next IP (if any)","",""
"service","bodacc.fr/109.232.232.161","443","INFO","HTTP","",""
"pre_128cipher","bodacc.fr/109.232.232.161","443","INFO","No 128 cipher limit bug","",""
"SSLv2","bodacc.fr/109.232.232.161","443","OK","not offered","",""
"SSLv3","bodacc.fr/109.232.232.161","443","OK","not offered","",""
"TLS1","bodacc.fr/109.232.232.161","443","INFO","not offered","",""
"TLS1_1","bodacc.fr/109.232.232.161","443","INFO","not offered","",""
"TLS1_2","bodacc.fr/109.232.232.161","443","OK","offered","",""
"TLS1_3","bodacc.fr/109.232.232.161","443","OK","offered with final","",""
"ALPN_HTTP2","bodacc.fr/109.232.232.161","443","OK","h2","",""
"ALPN","bodacc.fr/109.232.232.161","443","INFO","http/1.1","",""
"cipherlist_NULL","bodacc.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","bodacc.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","bodacc.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_LOW","bodacc.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","bodacc.fr/109.232.232.161","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","bodacc.fr/109.232.232.161","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","bodacc.fr/109.232.232.161","443","INFO","not offered","",""
"cipherlist_STRONG_FS","bodacc.fr/109.232.232.161","443","OK","offered","",""
"cipher_order-tls1_2","bodacc.fr/109.232.232.161","443","OK","server","",""
"cipherorder_TLSv1_2","bodacc.fr/109.232.232.161","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","bodacc.fr/109.232.232.161","443","OK","server","",""
"FS","bodacc.fr/109.232.232.161","443","OK","offered","",""
"FS_ciphers","bodacc.fr/109.232.232.161","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","bodacc.fr/109.232.232.161","443","OK","prime256v1 secp384r1 secp521r1","",""
