"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","HTTP","",""
"pre_128cipher","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","No 128 cipher limit bug","",""
"SSLv2","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","not offered","",""
"SSLv3","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","not offered","",""
"TLS1","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","not offered","",""
"TLS1_1","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","not offered","",""
"TLS1_2","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","offered","",""
"TLS1_3","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","h2","",""
"ALPN","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","http/1.1","",""
"cipherlist_NULL","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","not offered","","CWE-327"
"cipherlist_LOW","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","centre-documentation-spm.gouv.fr/195.154.54.74","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","offered","",""
"cipherlist_STRONG_FS","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","offered","",""
"cipher_order-tls1_2","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","server","",""
"cipherorder_TLSv1_2","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","server","",""
"FS","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","offered","",""
"FS_ciphers","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","yes","",""
"sessionresumption_ticket","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","supported","",""
"sessionresumption_ID","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","not supported","",""
"TLS_timestamp","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","random","",""
"cert_compression","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","N/A","",""
"clientAuth","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","none","",""
"cert_numbers","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","1","",""
"cert_signatureAlgorithm","centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","SHA256 with RSA","",""
"cert_keySize","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","9651E8ACD2D92E6859E73C1D5A31A5F1","",""
"cert_serialNumberLen","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","16","",""
"cert_fingerprintSHA1","centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","E507B3C4305D3B741C16BD547C7BE35C27B59CC5","",""
