"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","choosefrance.fr/217.70.184.55","443","INFO","HTTP","",""
"pre_128cipher","choosefrance.fr/217.70.184.55","443","INFO","No 128 cipher limit bug","",""
"SSLv2","choosefrance.fr/217.70.184.55","443","OK","not offered","",""
"SSLv3","choosefrance.fr/217.70.184.55","443","OK","not offered","",""
"TLS1","choosefrance.fr/217.70.184.55","443","INFO","not offered","",""
"TLS1_1","choosefrance.fr/217.70.184.55","443","INFO","not offered","",""
"TLS1_2","choosefrance.fr/217.70.184.55","443","OK","offered","",""
"TLS1_3","choosefrance.fr/217.70.184.55","443","OK","offered with final","",""
"ALPN","choosefrance.fr/217.70.184.55","443","INFO","not offered","",""
"cipherlist_NULL","choosefrance.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","choosefrance.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","choosefrance.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_LOW","choosefrance.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","choosefrance.fr/217.70.184.55","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","choosefrance.fr/217.70.184.55","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","choosefrance.fr/217.70.184.55","443","INFO","not offered","",""
"cipherlist_STRONG_FS","choosefrance.fr/217.70.184.55","443","OK","offered","",""
"cipher_order-tls1_2","choosefrance.fr/217.70.184.55","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","choosefrance.fr/217.70.184.55","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
