"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","charente-maritime.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","charente-maritime.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","charente-maritime.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","charente-maritime.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","charente-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","charente-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","charente-maritime.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","charente-maritime.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","charente-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","charente-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","charente-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","charente-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","charente-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","charente-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","charente-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","charente-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","charente-maritime.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","charente-maritime.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","charente-maritime.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","charente-maritime.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","charente-maritime.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","charente-maritime.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","charente-maritime.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","charente-maritime.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","charente-maritime.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","charente-maritime.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","charente-maritime.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","charente-maritime.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","charente-maritime.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","charente-maritime.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","charente-maritime.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","charente-maritime.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","charente-maritime.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","charente-maritime.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","charente-maritime.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","charente-maritime.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","charente-maritime.gouv.fr/77.159.252.140","443","INFO","FB5CBAE3C1B80B09538EF1E4A573C53D","",""
"cert_serialNumberLen","charente-maritime.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","charente-maritime.gouv.fr/77.159.252.140","443","INFO","54772959D46DEBA5C7C773F7DB5BADF92A5ECB2D","",""
"cert_fingerprintSHA256","charente-maritime.gouv.fr/77.159.252.140","443","INFO","172CC8BA10D54C2C444F511FCD207BFCCA0EA93227599A9DA43786A05F5D3174","",""
"cert","charente-maritime.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIdzCCBl+gAwIBAgIRAPtcuuPBuAsJU47x5KVzxT0wDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTI0MDMyMjIzMDAwMFoXDTI0MTAzMDIyNTk1OVowfTELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMSEwHwYDVQQKDBhNSU5JU1RFUkUgREUgTCBJTlRFUklFVVIxJjAkBgNVBAMMHXd3dy5jaGFyZW50ZS1tYXJpdGltZS5nb3V2LmZyMRMwEQYDVQQFEwpTMzA0MTQyMzU0MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAimZ0hkWu2EjOC69opP86NWNJyQTpru73eUBSxAjNlfZ+6Jy1BfuLOV50NEWxSYvTDQLfRRYx2APTEcIiIw7aXgsU83oH+t3xV0fsaiPxOcdI1oDbMk89CW7Bcy0diKV4MQxkfFPgLgVbQnoPIBy0W7YpzWsc14mQiTWz3JSmZgoPVfu+yxu7rsq1NQjgEORhtPD461PTcaY0DlGuxSiNQ9O2JgiZQpfukDXO0yLb54XoO1vQlbFmyT/uBKjEdP4aiu/3VbLxzMif4fT1fpymm8Cep+zeKd2xqUvzvK0eDKyTWvi85bGAZkRNICQoubPrCnX0Dy0dN4uoQ0EndDM9UwIDAQABo4ID8DCCA+wwgeQGCCsGAQUFBwEBBIHXMIHUMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvc2VydmljZXNjYS5kZXIwOAYIKwYBBQUHMAKGLGh0dHA6Ly9hdXRvcml0ZS5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuZGVyMDAGCCsGAQUFBzABhiRodHRwOi8vc2VydmljZXNjYS5vY3NwLmRoaW15b3Rpcy5jb20wLgYIKwYBBQUHMAGGImh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuY2VydGlnbmEuZnIwHwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwDAYDVR0TAQH/BAIwADBhBgNVHSAEWjBYMAgGBmeBDAECAjBMBgsqgXoBgTECBQEBATA9MDsGCCsGAQUFBwIBFi9odHRwczovL3d3dy5jZXJ0aWduYS5jb20vYXV0b3JpdGUtY2VydGlmaWNhdGlvbjBlBgNVHR8EXjBcMCugKaAnhiVodHRwOi8vY3JsLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuY3JsMC2gK6AphidodHRwOi8vY3JsLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMEMGA1UdEQQ8MDqCGWNoYXJlbnRlLW1hcml0aW1lLmdvdXYuZnKCHXd3dy5jaGFyZW50ZS1tYXJpdGltZS5nb3V2LmZyMB0GA1UdDgQWBBSbrnnDlKR/Y+rMPsPinM74H+tyATCCAX8GCisGAQQB1nkCBAIEggFvBIIBawFpAHcAdv+IPwq2+5VRwmHM9Ye6NLSkzbsp3GhCCp/mZ0xaOnQAAAGOaqg6ZAAABAMASDBGAiEAtu6eSRigiEFTwy/VRcSgLWBt5/idWvlVl2Qp17Pair8CIQDg0DVJp/D8Vi9Eo83GD8V/k2lW5K1cEvrL2oJJ27kWqwB2AO7N0GTV2xrOxVy3nbTNE6Iyh0Z8vOzew1FIWUZxH7WbAAABjmqoOsIAAAQDAEcwRQIhAIRWjTSi4Em5ONYshA9tt9n+FrkizsgDWSroVOaEB/TmAiAFTEkJquOBvvyr0dgkr/7wmx5eJB50bgIE6xkXFft3iQB2AFWB1MIWkDYBSuoLm1c8U/DA5Dh4cCUIFy+jqh0HE9MMAAABjmqoPJUAAAQDAEcwRQIgAog0GWqFWEzucEi6pf/K4ArjEFlICTm/m/IKWdEACcECIQDhvJNQ75g/XBCYkPwdFDRwMIclNPNItRru2bjSGC/+8TANBgkqhkiG9w0BAQsFAAOCAgEAJXn/UebX4tZ0NW8h/0WBuBwFLVJKk34Bu4qXVvZFgf1Ls8HHXuLlwtpO3+9XpYaLFHqE2+hopnOGmfz+0JbVMviZ+OhmHi+LV0BokWKHr7DCn+X97MoUq/O0UfnpWarlIR3UKsCyDrQxjvfs4cJh7FG5V9xevzP2EUI7fS7wa7P54goPw6eU6HOquCR29QcDw5G0pGck8qVGBqpuJkYJHHvUIwByhrweDiYgO6IelMFHQSVLF1jP93bYRcVqDIzXQpMQyWCtIU+BqjrvdjZYCd5L7TtmJ728+MgZA9C0k1Vi5HTq4AGbWQ9S/Sl6JLRE7bGcNqucwa6TnTcBZvWyN94kOKMwyB8q5qhsK4fmnN9qQk9K20E2jX7UiqMLlwA/+9R52LiFG7BsGaX7CA4voKUTW6JmaovPrCN8BI5WEcLRAVAg2rSdsFcvIEKa0ejxiXbGPxjLdz29xD3sfeY6W30y/FnWiWSODe2kpie7TZBKn7bW2p0VRRJjhyi3Wmvmy95ETt5iOkoqOc3pKcu77b8Gc5wscmRG3jjTeGMlQFtt+HKQT7nqYhF/WEKTDTOy1jF4gTZ0rXqNYMUsYmz1ZPv48v8IkxZ4G0+IwQmNTW7iAyzelemyszTxck6T8oGNkwBKnc+vcPXCshxA0o38SA9Zym+jVvrv9DqbMXU426E=\n-----END CERTIFICATE-----","",""
"cert_commonName","charente-maritime.gouv.fr/77.159.252.140","443","OK","www.charente-maritime.gouv.fr","",""
"cert_commonName_wo_SNI","charente-maritime.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","charente-maritime.gouv.fr/77.159.252.140","443","INFO","charente-maritime.gouv.fr www.charente-maritime.gouv.fr","",""
"cert_trust","charente-maritime.gouv.fr/77.159.252.140","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","charente-maritime.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","charente-maritime.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","charente-maritime.gouv.fr/77.159.252.140","443","OK","105 >= 60 days","",""
"cert_notBefore","charente-maritime.gouv.fr/77.159.252.140","443","INFO","2024-03-22 23:00","",""
"cert_notAfter","charente-maritime.gouv.fr/77.159.252.140","443","OK","2024-10-30 22:59","",""
"cert_extlifeSpan","charente-maritime.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","charente-maritime.gouv.fr/77.159.252.140","443","INFO","not present","",""
"cert_crlDistributionPoints","charente-maritime.gouv.fr/77.159.252.140","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","charente-maritime.gouv.fr/77.159.252.140","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","charente-maritime.gouv.fr/77.159.252.140","443","LOW","not offered","",""
"cert_mustStapleExtension","charente-maritime.gouv.fr/77.159.252.140","443","INFO","--","",""
"DNS_CAArecord","charente-maritime.gouv.fr/77.159.252.140","443","LOW","--","",""
"certificate_transparency","charente-maritime.gouv.fr/77.159.252.140","443","OK","yes (certificate extension)","",""
"certs_countServer","charente-maritime.gouv.fr/77.159.252.140","443","INFO","2","",""
"certs_list_ordering_problem","charente-maritime.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_caIssuers","charente-maritime.gouv.fr/77.159.252.140","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
