"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ciivise.fr/185.194.82.203","443","INFO","HTTP","",""
"pre_128cipher","ciivise.fr/185.194.82.203","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ciivise.fr/185.194.82.203","443","OK","not offered","",""
"SSLv3","ciivise.fr/185.194.82.203","443","OK","not offered","",""
"TLS1","ciivise.fr/185.194.82.203","443","INFO","not offered","",""
"TLS1_1","ciivise.fr/185.194.82.203","443","INFO","not offered","",""
"TLS1_2","ciivise.fr/185.194.82.203","443","OK","offered","",""
"TLS1_3","ciivise.fr/185.194.82.203","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","ciivise.fr/185.194.82.203","443","INFO","not offered","",""
"cipherlist_NULL","ciivise.fr/185.194.82.203","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ciivise.fr/185.194.82.203","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ciivise.fr/185.194.82.203","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ciivise.fr/185.194.82.203","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ciivise.fr/185.194.82.203","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ciivise.fr/185.194.82.203","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","ciivise.fr/185.194.82.203","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ciivise.fr/185.194.82.203","443","OK","offered","",""
"cipher_order-tls1_2","ciivise.fr/185.194.82.203","443","OK","server","",""
"cipherorder_TLSv1_2","ciivise.fr/185.194.82.203","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","ciivise.fr/185.194.82.203","443","OK","server","",""
"FS","ciivise.fr/185.194.82.203","443","OK","offered","",""
"FS_ciphers","ciivise.fr/185.194.82.203","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","ciivise.fr/185.194.82.203","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","ciivise.fr/185.194.82.203","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","ciivise.fr/185.194.82.203","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","ciivise.fr/185.194.82.203","443","INFO","yes","",""
"sessionresumption_ticket","ciivise.fr/185.194.82.203","443","INFO","not supported","",""
"sessionresumption_ID","ciivise.fr/185.194.82.203","443","INFO","supported","",""
"TLS_timestamp","ciivise.fr/185.194.82.203","443","INFO","random","",""
"cert_compression","ciivise.fr/185.194.82.203","443","INFO","N/A","",""
"clientAuth","ciivise.fr/185.194.82.203","443","INFO","none","",""
"cert_numbers","ciivise.fr/185.194.82.203","443","INFO","1","",""
"cert_signatureAlgorithm","ciivise.fr/185.194.82.203","443","OK","SHA256 with RSA","",""
"cert_keySize","ciivise.fr/185.194.82.203","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ciivise.fr/185.194.82.203","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ciivise.fr/185.194.82.203","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","ciivise.fr/185.194.82.203","443","INFO","765E74EDEE3FB0F6CCB006AF52B5C276","",""
"cert_serialNumberLen","ciivise.fr/185.194.82.203","443","INFO","16","",""
"cert_fingerprintSHA1","ciivise.fr/185.194.82.203","443","INFO","93A7824FFDBB904D5900216C809BF0932A4CB0AB","",""
"cert_fingerprintSHA256","ciivise.fr/185.194.82.203","443","INFO","D491351295F78A5AB23926AA02393B16236EA413BBDB230FECD718CF981CD29A","",""
