"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","collecte-pro.gouv.fr/185.194.82.232","443","INFO","HTTP","",""
"pre_128cipher","collecte-pro.gouv.fr/185.194.82.232","443","INFO","No 128 cipher limit bug","",""
"SSLv2","collecte-pro.gouv.fr/185.194.82.232","443","OK","not offered","",""
"SSLv3","collecte-pro.gouv.fr/185.194.82.232","443","OK","not offered","",""
"TLS1","collecte-pro.gouv.fr/185.194.82.232","443","INFO","not offered","",""
"TLS1_1","collecte-pro.gouv.fr/185.194.82.232","443","INFO","not offered","",""
"TLS1_2","collecte-pro.gouv.fr/185.194.82.232","443","OK","offered","",""
"TLS1_3","collecte-pro.gouv.fr/185.194.82.232","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","collecte-pro.gouv.fr/185.194.82.232","443","INFO","not offered","",""
"cipherlist_NULL","collecte-pro.gouv.fr/185.194.82.232","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","collecte-pro.gouv.fr/185.194.82.232","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","collecte-pro.gouv.fr/185.194.82.232","443","OK","not offered","","CWE-327"
"cipherlist_LOW","collecte-pro.gouv.fr/185.194.82.232","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","collecte-pro.gouv.fr/185.194.82.232","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","collecte-pro.gouv.fr/185.194.82.232","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","collecte-pro.gouv.fr/185.194.82.232","443","INFO","not offered","",""
"cipherlist_STRONG_FS","collecte-pro.gouv.fr/185.194.82.232","443","OK","offered","",""
"cipher_order-tls1_2","collecte-pro.gouv.fr/185.194.82.232","443","OK","server","",""
"cipherorder_TLSv1_2","collecte-pro.gouv.fr/185.194.82.232","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","collecte-pro.gouv.fr/185.194.82.232","443","OK","server","",""
"FS","collecte-pro.gouv.fr/185.194.82.232","443","OK","offered","",""
"FS_ciphers","collecte-pro.gouv.fr/185.194.82.232","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","collecte-pro.gouv.fr/185.194.82.232","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","collecte-pro.gouv.fr/185.194.82.232","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","collecte-pro.gouv.fr/185.194.82.232","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","collecte-pro.gouv.fr/185.194.82.232","443","INFO","yes","",""
"sessionresumption_ticket","collecte-pro.gouv.fr/185.194.82.232","443","INFO","not supported","",""
"sessionresumption_ID","collecte-pro.gouv.fr/185.194.82.232","443","INFO","supported","",""
"TLS_timestamp","collecte-pro.gouv.fr/185.194.82.232","443","INFO","random","",""
"cert_compression","collecte-pro.gouv.fr/185.194.82.232","443","INFO","N/A","",""
"clientAuth","collecte-pro.gouv.fr/185.194.82.232","443","INFO","none","",""
"cert_numbers","collecte-pro.gouv.fr/185.194.82.232","443","INFO","1","",""
"cert_signatureAlgorithm","collecte-pro.gouv.fr/185.194.82.232","443","OK","SHA256 with RSA","",""
"cert_keySize","collecte-pro.gouv.fr/185.194.82.232","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","collecte-pro.gouv.fr/185.194.82.232","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","collecte-pro.gouv.fr/185.194.82.232","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","collecte-pro.gouv.fr/185.194.82.232","443","INFO","7EF26195BC3B51C2289D3B3C38A3D132","",""
"cert_serialNumberLen","collecte-pro.gouv.fr/185.194.82.232","443","INFO","16","",""
"cert_fingerprintSHA1","collecte-pro.gouv.fr/185.194.82.232","443","INFO","B5C7D8D9DE239165763D4F454F7A8621B8EAD651","",""
"cert_fingerprintSHA256","collecte-pro.gouv.fr/185.194.82.232","443","INFO","401351D1DD5E0619A1208E18114FE6007D07401A35F7641DA9E3F7CFA43C80DE","",""
